Company Name,Company Profile,Summary,Category1,Category2,Category3
Tractable,https://www.joinef.com/companies/tractable/,AI for accident and disaster recovery.,Insurance,Automotive,Insurance
Aztec,https://www.joinef.com/companies/aztec/,Privacy layer for web3.,web3,Cyber Security or Privacy,Data Science
Sonantic,https://www.joinef.com/companies/sonantic/,Building the world's most expressive and realistic artificial voices.,Media or Entertainment,Gaming or eSports,Media or Entertainment
Magdrive,https://www.joinef.com/companies/magdrive/,Next generation satellite propulsion.,Space,Space,Space
Neptune,https://www.joinef.com/companies/neptune-robotics/,Robotic cleaning for the shipping industry.,Robotics/IoT,Robotics/IoT,Robotics/IoT
Unitary,https://www.joinef.com/companies/unitary/,Using AI to detect harmful online content.,Cyber Security or Privacy,Cyber Security or Privacy,Cyber Security or Privacy
La Vie,https://www.joinef.com/companies/la-vie/,Plant-based pork products.,Restaurant Tech,Environmental Science,"Food, Agriculture or Farming"
Atlas ML,https://www.joinef.com/companies/atlas-ml/,Free and open source tools tailored for machine learning workflows.,Developer Tools,Developer Tools,Developer Tools
AccuRx,https://www.joinef.com/companies/accurx/,Powering communications in the healthcare sector.,Healthcare,Healthcare,Healthcare
FabricNano,https://www.joinef.com/companies/fabricnano/,"A sustainable future, powered by enzymes.",Biotechnology,Biotechnology,Biotechnology
Alcemy,https://www.joinef.com/companies/alcemy/,Enabling cement and concrete producers to cut costs and carbon emissions.,Sustainability,Climate or Environment,Manufacturing or Industrial
GenoMines,https://www.joinef.com/companies/genomines/,Efficient plant-based mining.,Biotechnology,Biotechnology,Biotechnology
Cleo,https://www.joinef.com/companies/cleo/,World's first AI assistant for personal finances.,Finance,Finance,Finance
Core Biogenesis,https://www.joinef.com/companies/core-biogenesis/,Using plants as biofactories to produce high-value molecules 10 times cheaper.,Biotechnology,Biotechnology,Biotechnology
Gensyn,https://www.joinef.com/companies/gensyn/,Making compute for AI as accessible as oxygen for humans.,web3,Data Science,web3
FarmLend,https://www.joinef.com/companies/farmlend/,Building the infrastructure for global agriculture trade.,"Supply Chain, Transportation or Logistics","Food, Agriculture or Farming","Supply Chain, Transportation or Logistics"
CloudNC,https://www.joinef.com/companies/cloudnc/,CloudNC applies AI to reinvent precision manufacturing.,Manufacturing or Industrial,Manufacturing or Industrial,Manufacturing or Industrial
Feather,https://www.joinef.com/companies/feather/,Personalised insurance advice.,,,
Lynceus,https://www.joinef.com/companies/lynceus/,Building the world’s most reliable manufacturing quality prediction software.,Data Science,Data Science,Data Science
Green Li-ion,https://www.joinef.com/companies/green-li-ion/,World-first deep-clean technology to fully rejuvenate lithium-Ion batteries.,Sustainability,Energy,Sustainability
Intropic,https://www.joinef.com/companies/intropic/,Providing data refineries for investment management firms.,Finance,Data Science,Finance
Spore Biotechnologies,https://www.joinef.com/companies/spore-biotechnologies/,Using light to help factories produce safer food.,Hardware,B2B,Biotechnology
Newtone,https://www.joinef.com/companies/newtone/,The collaborative AI-powered platform to scale branded content.,B2B,Advertising/Marketing,B2B
Omnipresent,https://www.joinef.com/companies/omnipresent/,Enabling companies to build remote teams.,Future of Work,Future of Work,Future of Work
Fortephy,https://www.joinef.com/companies/fortephy/,AI-enabled smart contract auditor.,web3,B2B,web3
Neoplants,https://www.joinef.com/companies/neoplants/,The first generation of plants bioengineered to fight air pollution.,Biotechnology,Biotechnology,Biotechnology
Ochre Bio,https://www.joinef.com/companies/ochre-bio/,Genomic medicine for transplanted livers.,Biotechnology,Biotechnology,Biotechnology
Opply,https://www.joinef.com/companies/opply/,Ingredient Marketplace for Small Consumer Goods Brands.,"Supply Chain, Transportation or Logistics",Commerce or Marketplace,"Supply Chain, Transportation or Logistics"
Magic Pony Technology,https://www.joinef.com/companies/magic-pony-technology/,"Machine-learning based approaches to video enhancement, prediction and compression.",Media or Entertainment,Enterprise Solutions,Media or Entertainment
Voltz,https://www.joinef.com/companies/voltz/,Building a decentralised protocol that brings interest rate swaps to DeFi.,web3,Finance,web3
PassFort,https://www.joinef.com/companies/passfort/,Allowing companies to do rigorous KYC onboarding.,Finance,Finance,Finance
Wexler,https://www.joinef.com/companies/wexler/,The AI agent for every lawyer.,Legal,B2B,Legal
Salus Labs,https://www.joinef.com/companies/salus-labs/,"Supercharging web3 protocols with exploit protection via alerting, data visualisation and ML-based threat detection.",web3,B2B,Cyber Security or Privacy
Mycro Harvest,https://www.joinef.com/companies/mycro-harvest/,AI powered smart farms unlocking global mushroom production.,Sustainability,B2B,Biotechnology
Greenitio,https://www.joinef.com/companies/greenitio/,"Replacing microplastics & plastic ingredients with bio-based alternatives, profitably.",Sustainability,B2B,Consumer
Compwise,https://www.joinef.com/companies/compwise/,Revealing fair value for better pay to help employers attract and retain the best possible team.,Finance,B2B,Data Science
Optimal,https://www.joinef.com/companies/optimal/,The ad network for web3 that pays for your attention - AdSense meets Brave.,web3,Advertising/Marketing,B2B
BeGreen,https://www.joinef.com/companies/begreen/,Replacing plastic with Bioplastics.,Sustainability,Biotechnology,Sustainability
Adelántalo,https://www.joinef.com/companies/adelantalo/,Factoring 2.0 for Trucking in LATAM.,"Supply Chain, Transportation or Logistics",B2B,Finance
ForeQast Technologies,https://www.joinef.com/companies/foreqast-technologies/,Democratizing access to a cutting-edge technology to help you compete and win in the race for efficiency.,"Supply Chain, Transportation or Logistics",B2B,"Supply Chain, Transportation or Logistics"
Prefer,https://www.joinef.com/companies/prefer/,Making coffee without coffee beans.,Sustainability,Biotechnology,"Food, Agriculture or Farming"
Allium Bio,https://www.joinef.com/companies/allium-bio/,Creating sustainable and functional ingredients to level up the entire plant-based industry.,Sustainability,Biotechnology,"Food, Agriculture or Farming"
MoonGate,https://www.joinef.com/companies/moongate/,"Supercharge dApp UX: one-step web3 onboarding. No seed phrases, no downloads.",web3,B2B,Developer Tools
bryo,https://www.joinef.com/companies/bryo/,A no-code process observability platform that will be to business operations what Plaid is to Fintech.,"Supply Chain, Transportation or Logistics",B2B,"Supply Chain, Transportation or Logistics"
Level Nine,https://www.joinef.com/companies/level-nine/,Next Generation Catalysts for Biomanufacturing.,Sustainability,Biotechnology,Sustainability
AVAYL,https://www.joinef.com/companies/avayl/,Redefining pharma portfolio management with AI.,Healthcare,B2B,Healthcare
Moonah Technologies,https://www.joinef.com/companies/moonah-technologies/,Business payments on blockchains in developing markets.,web3,B2B,Commerce or Marketplace
Round,https://www.joinef.com/companies/round/,Next generation treasury services for businesses.,Finance,B2B,Finance
AgileRL,https://www.joinef.com/companies/agilerl/,Democratising access to reinforcement learning for building human-level artificial intelligence systems via tooling and RLOps.,Enterprise Solutions,B2B,Developer Tools
TORTUS AI,https://www.joinef.com/companies/tortus-ai/,Building a next generation AI co-pilot for doctors.,Healthcare,B2B,Enterprise Software
Amayu Health,https://www.joinef.com/companies/amayu-health/,The leading provider of psychedelics-based care in Europe.,Sustainability,Consumer,Healthcare
Flambo,https://www.joinef.com/companies/flambo/,The blockchain-native ad platform to engage with the first billion in web3.,web3,Advertising/Marketing,B2B
Optima Nanomed,https://www.joinef.com/companies/optima-nanomed/,Revolutionising drug delivery using smart programmable nanomaterials.,Healthcare,B2B,Biotechnology
Latte,https://www.joinef.com/companies/latte/,Automating video editing through AI.,Media or Entertainment,Advertising/Marketing,B2B
Quack AI,https://www.joinef.com/companies/quack-ai/,Using deep learning to transform how developers review code.,Developer Tools,B2B,Developer Tools
Unakin,https://www.joinef.com/companies/unakin/,"Transforming how game studios build playable prototypes, with an AI text-to-game co-creation platform.",Media or Entertainment,B2B,Gaming or eSports
Guided Energy,https://www.joinef.com/companies/guided-energy/,Smart energy for electric fleets.,Sustainability,B2B,"Supply Chain, Transportation or Logistics"
Statement,https://www.joinef.com/companies/statement/,Connecting SMEs to the right payments provider.,Finance,B2B,Finance
Primordial,https://www.joinef.com/companies/primordial/,"Solving the feed, food, and fuel crisis through reengineering the production of microalgae.",,,
Hibi,https://www.joinef.com/companies/hibi/,"Building the category leader for digital paediatric care, focused first on children with additional needs.",Healthcare,Healthcare,Healthcare
Datonomy,https://www.joinef.com/companies/datonomy/,Democratizing data ownership and building the future of data autonomy in advertising.,Gaming or eSports,Advertising/Marketing,B2B
Biographica,https://www.joinef.com/companies/biographica/,Accelerating productive and sustainable agriculture with ML-driven gene discovery.,"Food, Agriculture or Farming",B2B,Biotechnology
Borderless,https://www.joinef.com/companies/borderless/,"The world’s migration platform, solving global workforce imbalances and unleashing economic opportunity.",Legal,B2B,Commerce or Marketplace
A&B Smart Materials,https://www.joinef.com/companies/ab-smart-materials/,"Revolutionising cooling technology through the development of novel, smart hydrogels.",Sustainability,Climate or Environment,Energy
Flippit,https://www.joinef.com/companies/flippit/,Mixpanel for customer interviews.,B2B,Advertising/Marketing,B2B
Metaschool,https://www.joinef.com/companies/metaschool/,"Learn, Build & Ship dApps.",web3,Education,web3
Catapult,https://www.joinef.com/companies/catapult/,"Catapult unlocks the potential in Web3 communities through frictionless onboarding, rich Web3 profiles, and powerful tools to explore and connect.",web3,web3,web3
Cordless,https://www.joinef.com/companies/cordless/,Bridging the gap between voice and text.,Future of Work,Enterprise Software,Future of Work
vidyo.ai,https://www.joinef.com/companies/vidyo-ai/,We help video creators grow online faster with AI.,Communications or Social Media,Communications or Social Media,Communications or Social Media
Betafi,https://www.joinef.com/companies/betafi/,Your user research sidekick.,Future of Work,Future of Work,Future of Work
payper,https://www.joinef.com/companies/payper/,B2B payments made simple.,Finance,B2B,Finance
CarbonFarm,https://www.joinef.com/companies/carbonfarm/,Satellite-verified carbon credits for rice.,Sustainability,B2B,Climate or Environment
Amatera,https://www.joinef.com/companies/amatera/,Creating cleaner and greener coffee.,"Food, Agriculture or Farming",Biotechnology,Climate or Environment
Akuity Care,https://www.joinef.com/companies/akuity-care/,"AI-powered remote patient monitoring, using just a few seconds of voice.",Healthcare,Biotechnology,Healthcare
47 Labs,https://www.joinef.com/companies/47-labs/,Lighting up the brain for healthcare.,Healthcare,Biotechnology,Healthcare
blocktorch,https://www.joinef.com/companies/blocktorch/,The observability platform for the decentralized stack - think of datadog but for web3.,web3,B2B,Developer Tools
Mirantus,https://www.joinef.com/companies/mirantus/,Unlocking specialist healthcare for 100M+ underserved patients.,Healthcare,Healthcare,Healthcare
moonpass,https://www.joinef.com/companies/moonpass/,Bloomberg for institutional crypto investors.,web3,B2B,Finance
Orbital Matter,https://www.joinef.com/companies/orbital-matter/,The first construction company in space.,Sustainability,B2B,Hardware
sensmore,https://www.joinef.com/companies/sensmore/,Automating all heavy vehicles in the world.,B2B,B2B,B2B
Velsa,https://www.joinef.com/companies/velsa/,Global Legal Management SaaS for Startups & SMEs.,Legal,B2B,Legal
Littl,https://www.joinef.com/companies/littl/,"Quick, reliable, 24/7 virtual support care for anxious newborn parents.",Healthcare,Consumer,Healthcare
StartScreen,https://www.joinef.com/companies/startscreen/,The Digital Adoption Platform for the no-code age.,Future of Work,Education,Enterprise Software
Cherub,https://www.joinef.com/companies/cherub/,"Redefining the way prescriptions are written and managed, to ensure every patient is on the right medicines.",Healthcare,Healthcare,Healthcare
WorldOver,https://www.joinef.com/companies/worldover/,Making product compliance so easy that any business can sell any product in any market.,B2B,B2B,B2B
Flare,https://www.joinef.com/companies/flare/,Flare is optimising retailer inventory by rewarding shoppers for buying in advance.,"Supply Chain, Transportation or Logistics",B2B,Finance
Arda Biomaterials,https://www.joinef.com/companies/arda-biomaterials/,"Transforming waste into valuable, circular biomaterials – pioneering new manufacturing systems for the climate-focused future.",Sustainability,B2B,Manufacturing or Industrial
BharatMD,https://www.joinef.com/companies/bharatmd/,Bringing the surgical revolution to the tier 2 and 3 cities of India.,Healthcare,Data Science,Healthcare
Pachira,https://www.joinef.com/companies/pachira/,"Low-code platform for businesses to build gamified and rewarding user journeys, to improve user retention.",B2B,B2B,B2B
SyncSense,https://www.joinef.com/companies/syncsense/,AI enabled multi-modal content localisation platform.,B2B,B2B,B2B
FinStack,https://www.joinef.com/companies/finstack/,No-code global SaaS platform to digitise access to credit with zero engineering dependency.,Finance,B2B,Finance
Hushl,https://www.joinef.com/companies/hushl/,"AI-based platform, democratizing access to the creator economy by enabling millions of professionals to become creators.",Consumer,Consumer,Consumer
Kanjo Health,https://www.joinef.com/companies/kanjo-health/,"Kanjo personalises and predicts family healthcare, using children’s games to provide accurate, evidence-based insights and advice for parents.",Healthcare,Consumer,Education
Agota Health,https://www.joinef.com/companies/agota-health/,Nurse agency management software that drives hospital costs down and streamlines how healthcare staffing services are bought and sold.,Healthcare,Commerce or Marketplace,Future of Work
Compass Labs,https://www.joinef.com/companies/compass-labs/,The AI infrastructure to optimize and automate decision-making on DeFi protocols for everyone.,web3,Finance,web3
Orbital,https://www.joinef.com/companies/orbital/,Orbital AI automates 80% of day-to-day IT tasks for SMBs.,"Supply Chain, Transportation or Logistics",B2B,"Supply Chain, Transportation or Logistics"
